PageRank;inDegreeRank;PageRankValue;inDegreeValue;Node id;Url;Type
67;597;0.001402257368700904;495;1372;http://www.utwente.nl/de/bildung/post-graduate/tgs/index.html;disconnected
68;86;0.0013824826097007864;31617;263;http://www.utwente.nl/onderwijs/professional-learning-and-development/index.html;disconnected
69;562;0.001369299437034041;519;1383;http://blog.utwente.nl/tgs/index.html;disconnected
70;603;0.0013692994370340407;484;1386;http://www.utwente.nl/en/education/post-graduate/tgs/contact/organization/index.html;disconnected
71;127;0.0013119211527056777;5077;77;http://www.utwente.nl/de/bildung/index.html;disconnected
72;3040;0.0012117955647338618;114;11411;http://www.utwente.nl/en/organization/structure/faculties/bms/education/index.html;disconnected
73;175;0.0012117955647338618;1672;2432;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/index.html;disconnected
74;4117;0.0012117955647338618;72;5156;http://www.utwente.nl/organisatie/structuur/faculteiten/bms/onderwijs/index.html;disconnected
75;25818;0.001178837633066998;10;200225;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/index.html;disconnected
76;1327;0.001178837633066998;305;697;http://www.utwente.nl/en/organization/structure/index.html;disconnected
77;25550;0.001178837633066998;10;200226;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/archief/index.html;disconnected
78;6413;0.001178837633066998;37;13728;http://www.utwente.nl/bms/en/education/regulations/educational-policy/index.html;disconnected
79;350;0.0011452755046938482;827;39710;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/archive/mb/older-evaluations/index.html;disconnected
80;7017;0.0011394873606210899;33;39642;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-tbk/Modules/index.html;out
81;7704;0.0011250225167195374;29;39697;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-tbk/Modules/mod01/index.html;gscc
82;7622;0.0011250225167195372;29;39698;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-tbk/Modules/mod02/index.html;gscc
83;7558;0.0011250225167195372;29;39700;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-tbk/Modules/mod 04/index.html;gscc
84;7585;0.0011250225167195372;29;39699;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-tbk/Modules/mod 03/index.html;gscc
85;7612;0.0011248155788393392;29;39703;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-tbk/Modules/mod07/index.html;gscc
86;7674;0.0011248155788393392;29;39701;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-tbk/Modules/mod 05/index.html;gscc
87;7595;0.001124815578839339;29;39704;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-tbk/Modules/mod08/index.html;gscc
88;7686;0.001124815578839339;29;39702;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-tbk/Modules/mod 06/index.html;gscc
89;7038;0.001111620348008272;33;39640;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-iba/modules/index.html;disconnected
90;7550;0.0011012054560014357;29;39725;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/archive/mb/older-evaluations/evaluations_2009_2010/index.html;disconnected
91;7698;0.001101205456001435;29;39728;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/archive/mb/older-evaluations/evaluations_2006_2007/index.html;disconnected
92;7653;0.0011012054560014348;29;39724;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/archive/mb/older-evaluations/evaluations_2010_2011/index.html;disconnected
93;7678;0.0011012054560014348;29;39726;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/archive/mb/older-evaluations/evaluations_2008_2009/index.html;disconnected
94;7676;0.0011012054560014348;29;39727;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/archive/mb/older-evaluations/evaluations_2007_2008/index.html;disconnected
95;7638;0.0010977065096232628;29;39683;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-iba/modules/mod8.2/index.html;tendril
96;7699;0.0010977065096232628;29;39678;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-iba/modules/mod5/index.html;tendril
97;7624;0.0010977065096232628;29;39679;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-iba/modules/mod6/index.html;tendril
98;7589;0.0010977065096232628;29;39676;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-iba/modules/mod03/index.html;tendril
99;7637;0.0010977065096232628;29;39680;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-iba/modules/mod7.1/index.html;tendril
100;7616;0.0010977065096232626;29;39677;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-iba/modules/mod04/index.html;tendril
101;7646;0.0010977065096232626;29;39674;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-iba/modules/mod01/index.html;tendril
102;7598;0.0010977065096232626;29;39675;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-iba/modules/mod02/index.html;tendril
103;7690;0.001097510262079327;29;39682;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-iba/modules/mod8.1/index.html;tendril
104;7632;0.001097510262079327;29;39681;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-iba/modules/mod7.2/index.html;tendril
105;7358;0.00107161264209043;31;39636;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/Modules/index.html;disconnected
106;7996;0.0010583839370855801;27;39686;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/Modules/mod02/index.html;tendril
107;8140;0.0010583839370855801;27;39693;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/Modules/mod06b/index.html;tendril
108;8037;0.0010583839370855801;27;39685;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/Modules/mod01/index.html;tendril
109;8005;0.00105838393708558;27;39692;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/Modules/mod6a/index.html;tendril
110;8064;0.0010581999484536853;27;39690;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/Modules/mod05b/index.html;tendril
111;8080;0.0010581999484536853;27;39687;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/Modules/mod03/index.html;tendril
112;8136;0.0010581999484536853;27;39695;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/Modules/mod8/index.html;tendril
113;8094;0.0010581999484536853;27;39694;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/Modules/mod7/index.html;tendril
114;8025;0.001058199948453685;27;39691;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/Modules/mod5c/index.html;tendril
115;8101;0.001058199948453685;27;39688;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/Modules/mod04/index.html;tendril
116;8089;0.0010581999484536848;27;39689;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/Modules/mod05a/index.html;tendril
117;4863;0.0010378292566005593;57;1385;http://www.utwente.nl/en/education/post-graduate/tgs/news/index.html;disconnected
118;4144;0.0010378292566005593;71;1384;http://www.utwente.nl/en/education/post-graduate/tgs/events/index.html;disconnected
119;6333;0.0010257332346401862;39;11023;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-psy/index.html;disconnected
120;80;0.0010251962514689933;32451;6;http://www.utwente.nl/business/index.html;disconnected
121;81;0.0010251962514689933;32450;4;http://www.utwente.nl/onderzoek/index.html;disconnected
122;12;0.0010251962514689933;94451;72;http://www.utwente.nl/telefoongids.html;disconnected
123;89;0.0010251962514689933;28793;44;http://www.utwente.nl/organisatie/structuur/faculteiten/index.html;disconnected
124;79;0.0010251962514689933;32532;5;http://www.utwente.nl/organisatie/index.html;disconnected
125;83;0.0010251962514689933;32119;7;http://www.utwente.nl/campus/index.html;disconnected
126;52;0.0010251962514689933;39330;1;http://utwente.nl/index.html;disconnected
127;82;0.0010251962514689933;32446;3;http://www.utwente.nl/onderwijs/index.html;disconnected
128;6434;0.0010184604381015326;37;11022;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-iba/index.html;disconnected
129;1561;0.001012013078802248;247;36;http://www.utwente.nl/organisatie/structuur/index.html;disconnected
130;121;0.001012013078802248;6232;42;http://www.utwente.nl/contact/index.html;disconnected
131;123;0.001012013078802248;5925;71;http://www.utwente.nl/evenementen.1.html;disconnected
132;122;0.001012013078802248;6004;70;http://www.utwente.nl/nieuws/index.html;disconnected
133;6484;0.0010067167506976724;37;11020;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-epa/index.html;disconnected
134;8654;0.0010067167506976724;25;39638;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-epa/Modules/index.html;disconnected
135;7009;0.000995476061896783;33;11024;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-tbk/index.html;disconnected
136;10205;0.0009939380315442622;21;39663;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-epa/Modules/Mod8.2/index.html;tendril
137;10198;0.0009939380315442622;21;39661;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-epa/Modules/Mod7.2/index.html;tendril
138;9927;0.000993938031544262;21;39660;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-epa/Modules/mod7.1/index.html;tendril
139;9949;0.000993938031544262;21;39657;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-epa/Modules/mod4/index.html;tendril
140;10076;0.000993938031544262;21;39662;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-epa/Modules/Mod8.1/index.html;tendril
141;10148;0.000993938031544262;21;39654;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-epa/Modules/mod1/index.html;tendril
142;10112;0.000993938031544262;21;39655;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-epa/Modules/mod2/index.html;tendril
143;10005;0.000993938031544262;21;39658;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-epa/Modules/mod5/index.html;tendril
144;10090;0.000993938031544262;21;39656;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-epa/Modules/mod3/index.html;tendril
145;10238;0.000993938031544262;21;39659;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/bachelor/b-epa/Modules/mod6/index.html;tendril
